Year,Category,Name,Description,Source,Source URL,Image File,Photo,Photo URL,Copyright concern?
1640s,History,Pre-Colonial Homelessness,Earliest cases of homelessness are documented in the American colonies.,Community Solutions ,https://community.solutions/wp-content/uploads/2020/06/A-Brief-Timeline-of-Race-and-Homelessness-in-America-March-2019.pdf,1640s-pre-colonial-homelessness.jpg,"Poor people coming to a workhouse for food, c. 1840","https://commons.wikimedia.org/wiki/File:Poor_people_coming_to_a_workhouse_for_food,_c._1840_Wellcome_L0006802.jpg",
1734,History,Poorhouses,"first poor house in the colonies opens in New York City -- outside the city wall. 
 Boston and Philadelphia soon follow, opening poor houses of their own -- Boston's Long Island housed homeless folks
Poor houses served as jails, homeless shelters, almshouses, and as de facto mental institutions",Community Solutions ,https://community.solutions/wp-content/uploads/2020/06/A-Brief-Timeline-of-Race-and-Homelessness-in-America-March-2019.pdf,1734-poorhouses.jpg,"The first Alms House, 'Poor House'",https://www.geographicguide.com/united-states/nyc/antique/city-hall/18th-century/poor-house.htm,
1830,History,Native Removal ,Indian Removal Act -- first major federal legislation to create mass homelessness,Community Solutions ,https://community.solutions/wp-content/uploads/2020/06/A-Brief-Timeline-of-Race-and-Homelessness-in-America-March-2019.pdf,1830-native-removal.png,Map of Native American Removal from the Southeast ,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Trails_of_Tears_en.png/960px-Trails_of_Tears_en.png,
1850s,Policy,Vagrancy Laws,"Boston, New York, Philadelphia during Industrial Revolution shifting rural-urban conditions of housing stability, leading to the development of vagrancy laws. Vagrancy records suggest a rise in the numbers of those in search of work in these cities. Led to the creation of lodging rooms in police stations to hold those with no official, personal residence. ",The History of Homelessness in the United States,https://www.ncbi.nlm.nih.gov/books/NBK519584/,1850s-vagrancy-laws.png,Phila[delphia] Alms House a busy corner in the shoemaker's room by Alice Barber Stephens,https://www.loc.gov/item/2010718272/,
1850s,Terminology,"Vagrant, Vagabond",To mean someone who wanders from place to place with no stable home. Vagrancy laws targeted objectionable “out of place” people rather than any particular conduct.,US Vagrancy Laws by Risa L. Goluboff and Adam Sorensen,https://oxfordre.com/americanhistory/americanhistory/display/10.1093/acrefore/9780199329175.001.0001/acrefore-9780199329175-e-259,1850s-vagrant-vagabond.png,A group of vagrants leaves a New York police station in the morning having stayed there overnight to avoid having to sleep on the streets during the winter (1877),https://philadelphiaencyclopedia.org/essays/vagrancy,
1870s,Terminology,Tramps,"men traveling the nation with no visible means of support; used to reference 'an invigorating walking expedition' and during the Civil War 'a long, tiresome walk or march.' . This “army” of overwhelmingly young, able-bodied, white men created a culture that blended the search for work with a love of the open road and a disdain for the constraints of workers in industrialized America.",Citizen Hobo: How a Century of Homelessness Shaped America by Todd DePastino ,https://doi.org/10.7208/chicago/9780226143804.003.0001,1870s-tramps.png,Tramps,https://ephemeralnewyork.wordpress.com/2015/11/02/the-tramp-a-new-kind-of-homeless-in-new-york/,
1880s ,Terminology,Hobo,"culture of migratory laboring. Understood and depicted in popular culture as an escape from the oppression and monotony of factory work. This culture faded by the 1920s when companies sought loyalty and longeveity of their workforce, and seasonal jobs began to be replaced by cheap immigrant labor.  ",Jack London on the Road The Tramp Diary and Other Hobo Writings by Richard W. Etulain,https://digitalcommons.usu.edu/usupress_pubs/175/,1880s-hobo.jpg,"A migrant worker sleeps in a field on bed of straw, hat over his face, barefoot. United Kingdom. Date unspecified.",https://en.wikipedia.org/wiki/Hobo,
1892,Policy,Urban Slums Study,"1892 Congress allocated $20,000 to the Department of Labor (DOL) to investigate urban slums in cities with at least 200,000 resident","Investigation of the slums of cities. March 10, 1892 H. Rept. 52-625",https://www.loc.gov/item/2024770386/,1892-urban-slums-study.jpg,"Bandit's Roost by Jacob August Riis (1888), depicting the dangerous alley, Bandit's Roost, at 59½ Mulberry Street in New York Citty",https://www.theguardian.com/artanddesign/picture/2014/jan/22/bandits-roost-1888-photography,
1898,Policy,Tenement Housing Reform,"The effect of tenement housing conditions for the urban immigrant poor led to a social movement of documentation and public recognition of the substandard living conditions that had shaped much of New York City. In 1898 the Tenement House Committee formed leading to the New York State Tenement House Act of 1901. This act was the first law to ban dark, poorly ventilated housing buildings, and created the first set of architectural standards through legal enforcement. ","Tenement House Reform in New York, 1834-1900",https://archive.org/details/tenementhouseref00veilrich/page/n4/mode/1up,1898-tenement-housing-reform.jpg,Tenement House Department complaint by Harvey T. Warren (1914),https://exhibitions.library.columbia.edu/exhibits/show/css/housing/tenement-house-committee,
1927,History,River Displacement,"Mississippi River floods displacing hundreds of thousands, creating mass homelessness; President Hoover uses Black men to forcibly rebuild levees",Community Solutions ,https://community.solutions/wp-content/uploads/2020/06/A-Brief-Timeline-of-Race-and-Homelessness-in-America-March-2019.pdf,1927-river-displacement.png," ""Birdsong Camp at Cleveland, Miss. 4-29-27."" Group photograph of flood refugees. Illinois Central Railroad Company",https://da.mdah.ms.gov/series/1927flood,
